,Opening_date,Title,Actors,Country,Director,Genre,Language,Metascore,Runtime,Writer,Year,imdbRating,imdbVotes,Rotten_tomatoes,Review_date,Critic_name,Headline,Movie_review,Critics_pick,Omdb_revenue,Bo_revenue,Holiday
0,2017-03-25,After Auschwitz,"Eva Beckmann, Rena Drexler, Renee Firestone, Erika Jacoby","Poland, USA",Jon Kean,Documentary,English,74.0,83.0,"Deborah Blum, Jon Kean",2017,6.8,40.0,,2018-05-18 02:44:02,KEN JAWOROWSKI,Review: ‘After Auschwitz’ Looks at Six Survivors and Their Lives,"The anguish that underlies “After Auschwitz” is profound. Yet hope still flickers throughout this documentary, which tells the stories of six Jewish women who survived the Nazi death machine and went on to rebuild their lives in the United States.Starting with the Allied liberation of the concentration camps, the film traces the women’s experiences using interviews and news footage, some of it horribly brutal. Life was treacherous for Jews in Europe even after the war. Anti-Semitism remained virulent, and survivors journeyed long distances home only to find their possessions stolen. One woman recalls coming back and being threatened by strangers who had moved into her house and were wearing her clothes.All six eventually relocated to America, where they were bewildered by friends and relatives, who were loath to mention the camps. We hear how these women struggled with questions of whether to have children, who to trust and how to live with recurring nightmares. Most have since found a measure of peace; several continue to speak publicly about their experiences.Jon Kean, the director, chose the material wisely and doesn’t shy from severe images. He and his team also have good ears for anecdotes. One woman remembers making clothes from old parachutes. Another tells of pulling her son out of the Boy Scouts; the organization’s uniforms and practices reminded her too much of the Germans.Though this valuable film highlights the women’s later successes, not all of the survivors are optimistic. After learning of recent atrocities in other countries, a few lament our still-violent world. “Didn’t people learn anything from World War II, and from the Holocaust?” one asks. Her question is enough to elicit shame, for too often it seems we haven’t.",0,,,0
1,2015-01-23,Cake,"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington",USA,Daniel Barnz,Drama,"English, Spanish",49.0,102.0,Patrick Tobin (screenplay),2014,6.4,32024.0,48.0,2017-11-02 04:18:20,MANOHLA DARGIS,The Grief Spread Across the Road to Recovery ,"The modestly scaled, sad-funny indie drama “Cake” centers on a woman and the kind of grief that’s so unbearable this movie can’t even handle it. Jennifer Aniston plays Claire, who, having survived a horrific accident, now lives in near isolation in Los Angeles in a midcentury magazine layout of a house. Its clean lines, drawn by an architect and embellished by a period-design obsessive, make a vivid contrast with the scars jaggedly slashed across Claire’s face and body. Her wounds have healed, but her grimace and the shadows darkening it announce that she’s far from whole. The spectacle of female suffering has produced a lot of great movies; “Cake” is not one of them. It’s the sort of well-intentioned independent effort that can make criticism feel like overkill. There’s nothing to hate, nothing to love. The movie’s greatest virtue is that it gives Ms. Aniston a little room to play against the somewhat sardonic tough-cookie type that she deploys in vulgar comedies, like “We’re the Millers,” in which she both gets the job done and rises enough above the material to stroll away unscathed. Bad dialogue and roles often seem to just slide off her, sluicing down a slight hardness that (as with the midcareer Ginger Rogers) adds a little brass to the bright, blond picture.Written by Patrick Tobin and directed by Daniel Barnz, “Cake” opens with Claire upending her chronic-pain support group. The featured attraction in this circle of despair is a large, mounted photograph of a former group member, Nina (Anna Kendrick), who’s recently taken a fatal dive off a freeway ramp. As the attendees sniffle and dab their red eyes, the group facilitator, Annette (Felicity Huffman), encourages the women to process their grief. “Will you forgive me?” Annette asks, pretending to speak for Nina. Claire, understandably, has no interest in playing this game and says something blunt that shocks the room and, also understandably, leads to her being booted out. The scene is played for laughs, most sourly aimed at Annette and the other touchy-feely therapy saps.All’s fair in love and especially in comedy. There’s something strange, though, about a movie that solicits laughter at the expense of its most disposable characters (here mostly played by extras), even as it insists on indulgence for its protagonist (played by the star). In “Cake,” that’s particularly the case, because it follows a woman weighed down by tragedy on a therapeutic journey from one stage of grief to the next. Claire is facedown in depression at the start of the story, and it gives nothing away to say that she’s chin up in acceptance by the end. The movie hits so many familiar beats that it’s impossible not to see what’s next. It does what you expect at almost every turn, even with some hallucinations that, with one piercing exception, seem calculated to keep real hurt at bay. Claire’s story emerges through a miasma of moans and true and false notes. Just getting out of bed is an agony for her, as Ms. Aniston suggests with a stiff, constricted physical performance to go with the character’s clenched face and shuttered, shattered world. The introduction of Nina’s husband, Roy (Sam Worthington), gives Ms. Aniston an excuse to warm Claire up. But he’s a distraction and an unfortunate one, because Claire’s most dynamic relationship is with her Latina housekeeper, Silvana (Adriana Barraza, very good), an exploited saint. Their relationship borders on the embarrassingly unexamined, and Silvana is woefully underwritten, but every so often — as when the story follows her home — life flickers into view, as does another movie about two mutually dependent equals.“Cake” is rated R (Under 17 requires accompanying parent or adult guardian). Unsweetened adult language.",0,1319947.0,1951776.0,0
2,2015-02-13,The Rewrite,"Hugh Grant, Whit Baldwin, Vanessa Wasche, Enid Graham",USA,Marc Lawrence,"Comedy, Romance","English, French",51.0,107.0,Marc Lawrence,2014,6.2,15329.0,66.0,2017-11-02 04:18:20,STEPHEN HOLDEN,"Review: In ‘The Rewrite,’ Hugh Grant Is an Author Seeking a Comeback","“The Rewrite,” the fourth screen collaboration of Hugh Grant and the director and screenwriter Marc Lawrence, is a return to form for the long-running team after the debacle six years ago of “Did You Hear About the Morgans?” By “return to form,” I don’t mean to suggest that their pre-“Morgans” films — “Two Weeks Notice” and “Music and Lyrics” — were more than reasonably intelligent romantic comedies buoyed by Mr. Grant’s appeal as a bumbling, sheepish charmer.But Mr. Grant, now 54, is facing the expiration date of his twinkly boyish act. And in “The Rewrite,” as he plays a spoiled screenwriter and one-hit Hollywood wonder on the skids, you can feel the strain as he goes through the routine one more time. His character, Keith Michaels, won an Oscar for best original screenplay in 1999 for something called “Paradise Misplaced,” but hasn’t had a hit since, and his A-list status has plummeted. The squirm-inducing opening scene shows Keith desperately pitching a concept in which Jack Nicholson fakes his death and stages his own funeral to see what people really think of him. This idea is nixed by producers in pursuit of the latest trend: “edgy comedies with a kick-ass type woman.” Desperate for work, Keith agrees to teach screenwriting at Binghamton University, near the New York-Pennsylvania border. Breezing into Binghamton, N.Y., a town he loathes on sight, Keith blithely proclaims to anyone within earshot: “I don’t believe that writing can be taught. You can’t teach talent.” Without a second thought, he beds Karen (Bella Heathcote), who ends up in his class.Instead of choosing his students based on their writing samples, Keith researches their Facebook profiles and stacks his course with the prettiest women who applied. On his first day on the job, he dismisses the class for a month, but not before falsely claiming that Matt Damon is interested in starring in his latest project. Keith also meets his nemesis, Mary Weldon (Allison Janney), a severe, scowling Jane Austen scholar, tenured professor and head of the college ethics committee, and an imperious type Ms. Janney has down cold. When they’re introduced, Keith, straining to be witty, remarks, “I’m just a little bit tired of female empowerment.” From that moment, she regards him with suspicion and contempt. The smart, needling dialogue in these opening scenes has a satirical bite almost equal to that of the Showtime series “Episodes.” It sets a high standard that the rest of the movie can’t maintain, as the story settles into a formulaic tale about a scoundrel’s redemption. At the outset, Keith, divorced and alienated from his college-age son, is a really bad guy. That Mr. Grant can bring Keith back from the edge more or less persuasively is a testament to his ability to convey genuine humility without mawkishness, once he sees the light. Binghamton, nicknamed the Carousel Capital of the World, is also the childhood home of Rod Serling, whose “Walking Distance” episode of “The Twilight Zone” embodies the movie’s message in a father’s advice to his son: “You’ve been looking behind you. ... Try looking ahead.”“The Rewrite” has a relaxed, easygoing performance by J. K. Simmons as Keith’s department head, Harold Lerner, who is married with four daughters. Marisa Tomei as Holly Carpenter, one of Keith’s students — a single mother who has two jobs and becomes a possible love interest — is solidly likable. To its credit, “The Rewrite” resists the temptation to fling them into each other’s arms at the first opportunity. By the time they acknowledge their mutual attraction, they have a shared history on which to build.",0,324889.0,,0
3,2015-03-06,Kidnapping Mr. Heineken,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins","Netherlands, Belgium, UK, USA",Daniel Alfredson,"Action, Crime, Drama, Thriller","English, Dutch, German",33.0,95.0,"William Brookfield, Peter R. de Vries (book)",2015,6.1,16917.0,20.0,2017-11-02 04:18:20,MANOHLA DARGIS,Review: ‘Kidnapping Mr. Heineken’ Revisits a 1983 Dutch Crime,"The sole object lesson in the true-crime drama “Kidnapping Mr. Heineken” is that not every crime deserves its own movie. That much becomes clear in the director Daniel Alfredson’s dreary, uninvolving fictionalized take on the real 1983 snatching of Alfred Heineken, chairman of the company bearing his family’s name. A few years ago, the same story was turned into “The Heineken Kidnapping,” a Dutch movie with Rutger Hauer in the title role, which racked up some business in the Netherlands and is available on Amazon on demand. It is a puzzlement why anyone thought that the world needed another movie about this kidnapping, which plays out as a shopworn tale of greed, stupidity and deserved comeuppance. This time, Anthony Hopkins plays the big brew king, who, amid murky shadows and awkward camera angles, is grabbed off an Amsterdam street with his chauffeur, Ab Doderer (David Dencik), by a gang of idiots. These four are played by an international crew of familiar names — Jim Sturgess, Sam Worthington, Ryan Kwanten and an actual Dutch dude, Mark van Eeuwen — who, with Mr. Hopkins, probably got this flick bankrolled. Like Mr. Hopkins, the actors playing the kidnappers speak in shades of accented English, though Mr. Worthington, as a hothead named Willem Holleeder, doesn’t seem to be trying to master a Dutch inflection terribly hard or perhaps just gave up. He’s playing more a notion (he’s the criminal with daddy issues) than a realized character, an under-conceptualization that you might think would have been evident in the script. The screenplay credited to William Brookfield covers the basic facts of the kidnapping and briefly and irritatingly suggests that the abductors were at least partly motivated by economic hard times. This dubious socio-economic rationalization evaporates the moment the four, guns firing wildly, rob a bank to finance the kidnapping. Their capture proves anticlimactic, as does the follow-up, which largely involves the sad-sack villains flailing about and looking quizzically at one another. Mr. Hopkins doesn’t have much to do, but it can be amusing to see him upstage everyone else with sonorous murmurings and imperious demands for a robe and Chinese takeout. When the kidnappers leave the ransom letter in a copy machine, the movie seems to be lurching into gang-who-can’t-shoot-straight burlesque. The filmmakers, alas, seem to think that they have something serious to say and that Mr. Sturgess’s doe eyes will reveal the heart beneath this mess. The basis for his character, Cor van Hout, apparently went on to become, with the real Mr. Holleeder, a criminal mastermind, which given this movie seems like pure science fiction.“Kidnapping Mr. Heineken” is rated R (Under 17 requires accompanying parent or adult guardian). Gunplay.",0,,,0
4,2015-03-27,Serena,"Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones","Czech Republic, France, USA",Susanne Bier,"Drama, History, Romance",English,36.0,109.0,"Christopher Kyle (screenplay), Ron Rash (based on the book by)",2014,5.4,22708.0,16.0,2017-11-02 04:18:21,MANOHLA DARGIS,Review: Bradley Cooper and Jennifer Lawrence Felling Trees in ‘Serena’,"Bradley Cooper and Jennifer Lawrence will probably get a lot of grief and negative reviews for “Serena,” but this isn’t the kind of fiasco you can entirely pin on its stars. Miscast and misdirected from first ridiculous scene to last, they play George and Serena Pemberton, 1929 glamour-pusses who, soon after the story opens, marry and move to his timber camp. There, he plans to build an empire or dominate nature or something — it’s telling that it is never wholly clear what he has in mind beyond felling trees — while Serena, well, she intends to dominate poor George. Serena does just that largely through a lot of awkward love scenes that turn the characters into tangles of disembodied body parts and find Ms. Lawrence’s head pinwheeling in painful, at times comically so, pantomimes of ecstasy. It’s embarrassing watching a likable, supremely capable actor like Ms. Lawrence deliver a performance more suited to a Mel Brooks burlesque, though her vamping and eye-popping are really no worse than Mr. Cooper’s maladroit Boston accent and palpable, at times visible, discomfort. The actors don’t just look uncomfortable in their period duds, they also look uneasy in their own skins, which is a feat for two such natural, physically confident screen performers.The Danish director Susanne Bier, whose credits include “Open Hearts” and “Things We Lost in the Fire,” has done good work with actors before, so it’s hard to know what happened here or why. Whatever the case, she seems as unsteady as her two stars although, given how overedited the movie is, it can be difficult to tell if the scenes ever had any integrity before they were put in a Cuisinart. (Ms. Bier apparently spent more than a year in postproduction trying to get the movie in shape.) That said, all the deep-fried performances, including from Rhys Ifans as a weird mountain man with a gun, strongly suggest that no amount of post magic could have saved this picture from its makers.Based on a well-regarded 2008 novel by the American author Ron Rash, the story takes place in the North Carolina mountains and finds George and Serena first battling those who want to turn the area into a park and then fighting each other. Blood spills and drama erupts, but none of it registers. What does register is that this is another recent bid from a Danish director to recreate not simply the American past but also a Hollywood-style version of that past. In “The Salvation,” the Danish director Kristian Levring reimagines the old American West in a movie shot in South Africa; here, Ms. Bier has tried to recreate 1920s Appalachia in the Czech Republic. The German filmmaker Wim Wenders once observed that the Americans have “colonized our subconscious,” so I guess we have only ourselves to blame.“Serena” is rated R (Under 17 requires accompanying parent or adult guardian). Sex, violence, logging.",0,326289.0,,0
5,2015-04-10,Kill Me Three Times,"Simon Pegg, Steve Le Marquand, Alice Braga, Teresa Palmer","USA, Australia",Kriv Stenders,"Comedy, Crime, Thriller",English,30.0,90.0,James McFarland,2014,5.9,17512.0,15.0,2017-11-02 04:18:21,MANOHLA DARGIS,"Review: ‘Kill Me Three Times,’ and Then Some, Set in a Murderous Surf Town","It’s of course unfair to blame Quentin Tarantino for all the terrible movies he has inspired, but enough already!In “Kill Me Three Times” (words you may start muttering not long after this begins), Simon Pegg plays Charlie Wolfe, an assassin for hire whose name, black suit and mustache, like so much of this movie, feel recycled from “Pulp Fiction.” Charlie is in the middle of a hit when “Kill Me” opens, firing at a running and then crawling, bleeding man. Charlie pauses among bullets to take a phone call, which sums up the movie’s idea of a joke. Mr. Pegg can sell jokes and zombies better than most, but even he has a hard time giving you a reason to watch.ImageSimon Pegg in “Kill Me Three Times.”CreditMagnet ReleasingThe story unwinds by fits and starts in an isolated Australian surf town in which most of the residents, a collection of generic types — amoral vixen, dumb stooge, drunken abuser, battered wife, lunkhead lover and so on — want to kill one another for the usual generic reasons. The cast includes a few familiar faces and names, among them Alice Braga, Bryan Brown and yet another Hemsworth brother (this one’s named Luke), and there’s a good performance from Teresa Palmer, one of those pretty, talented blondes that Australia churns out like Vegemite.The director, Kriv Stenders, arranges bodies in spaces without distinction, but he does show a curious fondness for shots of moving cars. It’s an image he returns to so many times that you wonder if he was as eager to get out of here as you are.“Kill Me Three Times” is rated R (Under 17 requires accompanying parent or adult guardian). Bloody violence.",0,,,0
6,2015-04-24,The Forger,"John Travolta, Christopher Plummer, Tye Sheridan, Abigail Spencer",USA,Philip Martin,"Crime, Drama, Thriller","English, Spanish",32.0,92.0,Richard D'Ovidio,2014,5.7,10270.0,,2017-11-02 04:18:21,A. O. SCOTT,Review: ‘The Forger’ Stars John Travolta as a Convict and Painter,"A late entry in the weary Boston crime subgenre, “The Forger” finds a morose John Travolta as a silver-maned convict named Ray Cutter. Less than a year away from the end of his sentence, Ray expedites his release by racking up a debt to a powerful bad guy. The reason for Ray’s haste is that his teenage son, Will (Tye Sheridan), has a brain tumor and may not have long to live. But the payback is a dangerous job painting a fake Monet for the Museum of Fine Arts.Preposterousness is not necessarily a vice, and plausibility is a weak virtue. Just ask Alfred Hitchcock. So to say that the conceits of “The Forger” (directed by Philip Martin) are ridiculous isn’t really saying much. It’s also dull, incoherent and drab to look at. There may be a glimmer of interest when Christopher Plummer shows up as Ray’s con-man dad, and another when Will’s drug-addict mother turns out to be Jennifer Ehle, but hope is quickly replaced by frustration that they had to waste their talents on a piece of straight-to-video hack work.Mr. Travolta teeters between tough-guy menace and soulful, artistic intensity, but you don’t ever believe that he can paint or that he can beat up a whole squad of younger, bigger, meaner dudes. He does both, of course, and whatever else the script (by Richard D’Ovidio) calls for. Toward the end, when “The Forger” turns into a jaunty, silly caper, it shows a bit of energy, but otherwise it’s by the numbers and an obvious fake.“The Forger” is rated R (Under 17 requires accompanying parent or adult guardian). Bad language, worse accents.",0,,,0
7,2015-05-08,The Seven Five,"Mike Dowd, Ken Eurell, Walter Yurkiw, Chickie",USA,Tiller Russell,"Documentary, Biography, Crime",English,69.0,104.0,,2014,7.6,3966.0,85.0,2017-11-02 04:18:21,MANOHLA DARGIS,"Review: ‘The Seven Five,’ a Documentary About a Corrupt New York Cop","The documentary “The Seven Five” giddily revisits the true-crime deeds of Michael Dowd, a former New York police officer who was arrested in 1992 with a stash of cocaine on him. As the ringleader of a crew of dirty cops stationed at the 75th Precinct in East New York, he padded his income by stealing money, guns and drugs from dealers. He eventually graduated to working for drug rings, one of which put him on retainer so he could provide information about narcotic operations. “The Seven Five” has been called “the cop version of ‘GoodFellas,’ ” which may explain why Sony has plans to produce a fictional remake. Here’s hoping that version uses a better moral compass. You learn a lot in “The Seven Five” about Mr. Dowd’s criminal exploits, which emerge in original interviews with him and some of his former associates, in re-creations of their exploits and, valuably, in clips from his testimony before the Mollen Commission. It was formed after Mr. Dowd and a handful of other dirty cops were arrested on narcotic charges, and its mission was spelled out in its title: “Commission to Investigate Allegations of Police Corruption and the Anti-Corruption Procedures of the Police Department.” Among its many bleak findings was that Mr. Dowd’s underworld activities were so lucrative that from 1987 to 1988 he reaped $4,000 a week from drug organizations in his precinct. Sometimes he even forgot to pick up his paycheck.And now Mr. Dowd, having served time in a federal prison, is making a comeback as the star of this breathless, ethically challenged documentary, which the director Tiller Russell has pulled together as slickly as an episode of “Law & Order” (without, you know, much of either). The main source here is Mr. Dowd, who, mouth gunning, excitedly recounts how he stole drugs and money, stories that are interlaced with talking-head accounts from some of his past associates, including former cops and drug dealers who are thanked in the credits. Every so often if not nearly enough, you also hear from some of the good guys who helped bring Mr. Dowd down, including one who soberly invokes what bad guys like Mr. Dowd meant for neighborhoods under his watch.When asked by the Mollen Commission whether his loyalties were with “the community he was supposed to be policing” or the drug traffickers he protected, Mr. Dowd said, “I guess I’d have to say the drug traffickers.” Again and again, you see him before the commission, but his testimony tends to get lost amid the hyperventilated crime stories. That’s too bad. He was a font of information, as when he testified hat the police officers who “are taking money will more typically be the ones that are giving beatings.” As the commission found, “Dowd, like other officers, reported that brutality strengthened the bonds of loyalty and silence among officers and thus fostered corruption tolerance.” This documentary could have a whole lot more Mollen and a whole lot less of Mr. Dowd. A movie like “The Seven Five” has only minor use as a historical document; its principal function is to package gonzo tales of bad behavior into commercial entertainment that plays down the real suffering behind those stories. Mr. Dowd’s vehement narration does have, at times, a vague Joe-Pesci-in-“GoodFellas” feel, which is amusing only if you ignore the historical record. In 1988, when Mr. Dowd was still on the force, an estimated 100 people were murdered in East New York. Those dead should haunt “The Seven Five,” which instead breezes through its crimes while tossing out grim images of unidentified black and brown bodies. I wonder if these will show up in the fictional version that as Variety reported, Sony won the rights to after a winning bid of “around the seven-figure range.” “The Seven Five” is rated R (No one under 17 admitted without parent or adult guardian). Crimes against humanity.",0,,,0
8,2015-05-29,Aloha,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray",USA,Cameron Crowe,"Comedy, Drama, Romance","English, Hawaiian, Russian",40.0,105.0,Cameron Crowe,2015,5.4,50176.0,20.0,2017-11-02 04:18:21,A. O. SCOTT,"Review: ‘Aloha,’ a Hangout Movie With Bradley Cooper and Emma Stone in Hawaii","Let me say right up front that I will always root for Cameron Crowe. That’s the kind of blunt, sincere, slightly inappropriate statement one of his characters might blurt out at an odd moment, and so much the better. He had me at the “Fast Times at Ridgemont High” script, and I’m probably not the only self-conscious, music-crazed guy of my generation who found possible alternate selves in Mr. Crowe’s alter egos: Lloyd Dobler in “Say Anything,” William Miller in “Almost Famous” and even Jerry Maguire himself. All of this is to say that while I can’t make any excuses for “Aloha”— to the extent it can even figure out what movie it wants to be, it’s not a very good one — I can leaven my disappointment with mercy. Mr. Crowe is a huge fan of forgiveness, and so (occasional appearances to the contrary) am I. I can even say that I had a good time, a better time than I had at “Vanilla Sky” or “Elizabethtown.” But now I’m starting to get a little depressed. I enjoyed “Aloha” the way you can enjoy a catch-up beer with an old friend you don’t have much in common with anymore. Set among military service people and contractors in Hawaii, it’s a loose, leisurely hangout movie, funny and sprawling and full of eccentric, interesting folks. Or at least it should have been. The plot is a hash when it’s not a drag, and the 100-odd-minute cut of the film arriving in theaters on Friday seems hacked from something longer and baggier. You don’t really want the neoliberal business intrigue or the imperialist guilt trip or the by-the-book romantic comedy, and it’s not clear Mr. Crowe does either. You want Bradley Cooper and Emma Stone verbally arm wrestling their way into each other’s hearts. You want Ms. Stone and Bill Murray dancing at the officers’ club. You want Danny McBride and Rachel McAdams and Alec Baldwin doing whatever it is they’re supposed to be doing here. Or, rather, doing something else, while you sip your Diet Coke and wish that your troubles could be as silly, as charming and as weirdly, idiosyncratically glamorous as what you see on screen.You get just enough of all of the above to keep you wanting more. A few awkward social scenes through which the camera darts, turns and pivots like a nosy, overfamiliar guest. A scene of two men in a kitchen not speaking, their silences decoded by witty subtitles. Mr. Cooper ranting at Ms. Stone in a way that leaves it up to her to decide if he’s being flirtatious or mean. Ms. Stone sending crush waves back at him from her enormous blue eyes. The words “sad city coyote” applied to his character.That’s the good stuff, or some of it, anyway. There’s some less good stuff too, including a few worn-out, generationally questionable musical cues. (I think they call it “dad rock” nowadays. I remember when it was “classic rock.” Before that I guess it was just “rock,” but let’s not date ourselves.) Then there is the way Hawaii and its indigenous people are used as an evocative, superficial backdrop for the troubles of white people. This is standard Hollywood procedure, but the conceit that Ms. Stone’s character, Capt. Allison Ng, is supposed to be a quarter Hawaiian doesn’t really help.Captain Ng, a fighter pilot, is assigned to accompany Brian Gilcrest (Mr. Cooper) on what is supposedly a culturally sensitive ceremonial mission. A veteran with various scrapes and disgraces under his belt, Gilcrest works for the billionaire Carlson Welch (Mr. Murray), who is about to launch a private rocket from an island military base. Gilcrest’s job is partly to smooth things over with a Hawaiian leader (Dennis Kanahele, playing himself), but a lot of other issues get in the way. Mostly Gilcrest’s former girlfriend (Ms. McAdams), who is married (to a strong, silent fellow played by John Krasinski) with two kids, one of them a precociously cute boy (Jaeden Lieberher) who rattles on about Hawaiian mythology and outer space.There’s also a daughter (Danielle Rose Russell), but that’s enough summarizing for now. “Aloha” has too much story and yet not quite enough, and its rhythms are rushed and pokey. It skips like a record playing in the bed of a pickup truck. Themes pop into the sky and then fade like vapor trails. We’re invited to think about lofty, global matters like the fate of American identity in an age of corporate hegemony and then told to forget about it and have another beer. Potential conflicts arise only to be set aside or resolved, and Mr. Crowe seems reluctant to allow the possibility of unhappiness to linger long enough for the restoration of happiness to feel welcome and earned. Everybody is too eager to forgive, forget and move on. I guess that goes for me too.“Aloha” is rated PG-13 (Parents strongly cautioned). Kids might have some questions. You might have some, too.",0,15669178.0,20527175.0,0
9,2015-06-12,The 11th Hour,"Leonardo DiCaprio, Kenny Ausubel, Thom Hartmann, Wangari Maathai",USA,"Leila Conners, Nadia Conners",Documentary,English,63.0,95.0,"Leila Conners, Nadia Conners, Leonardo DiCaprio",2007,7.3,5337.0,67.0,2017-11-02 04:18:21,JEANNETTE CATSOULIS,"Review: In &#8216;The 11th Hour,&#8217; Fertility Anxiety Gets Thriller Treatment","An unborn baby and a ticking biological clock make the scariest sounds in “The 11th Hour,” a troubling example of what can only be called a fertility thriller.Maria (Kim Basinger) is a high-powered shipping executive in Denmark with a yearning womb. After a decade of marriage and eight miscarriages, Maria refuses to accept a childless future, ignoring her doctors and her exhausted husband (Sebastian Schipper) in favor of the urgings of what she believes is her future child.“I am still here,” the baby insists in whispery voice-over. “Come find me, Mommy!” The maternal stars align when Maria learns of Eastern European prostitutes who sell their offspring to human traffickers. Assisted by a hitchhiking, heroin-addicted dwarf named Christian (an admirable Jordan Prentice), she embarks on a delusional rescue mission marked by escalating violence and twisted morality.Icily chic and scarily composed, Ms. Basinger commits to her disturbed character. But the script (by the director, Anders Morgenthaler) makes Maria’s behavior so reckless — at times, she’s practically begging to be mugged or worse — that we have no chance of sympathizing with her. The character’s debasement adds a concerning pulse of masochism that harks back to the punishment of those prior miscarriages.Cleanly photographed and infused with strong religious undertones, “The 11th Hour” (not to be confused with the 2007 documentary of the same name) is, like its heroine, more than a little barmy. Then again, if you awoke to a ghost baby praying on your quilt, you might be too.",0,550272.0,,0
